station_name,address,lat,lon,total_bike,available_bike,location,nowdate
풍납현대아파트쉼터,서울특별시 송파구 풍성로14길 19 송파구 풍납동 465,37.529675,127.119789,20,19,서울,201804261939
잠실나루역 (2번 출구 쪽),서울특별시 송파구 오금로 20 송파구 신천동 15,37.520451,127.104202,20,6,서울,201804261939
마포소방서 앞,서울특별시 마포구 창전로 76 100-18,37.549767,126.933174,15,1,서울,201804261939
롯데월드타워(잠실역2번출구 쪽),서울특별시 송파구 올림픽로 293-19 송파구 신천동 28,37.513126,127.100960,30,4,서울,201804261939
방이삼거리,서울특별시 송파구 석촌호수로 298 송파구 신천동 33,37.512104,127.107780,7,7,서울,201804261939
송파역 2번 출구앞,서울특별시 송파구 송파대로 지하 354 송파구 가락동 459-4,37.499413,127.112869,10,4,서울,201804261939
백토공원 앞,서울특별시 송파구 양재대로72길 47-8 송파구 오금동 6-2,37.507660,127.132736,20,12,서울,201804261939
오금역 7번 출구 인근,서울특별시 송파구 오금로 지하 321 송파구 오금동 44-2,37.502594,127.127647,10,0,서울,201804261939
올림픽공원역 1번출구 앞,서울특별시 송파구 양재대로 지하 1233 송파구 방이동 89-28,37.516571,127.131538,15,8,서울,201804261939
송파파인타운 7단지,서울특별시 송파구 충민로4길 19 송파구 장지동 839-4,37.479271,127.129578,15,9,서울,201804261939
방이역 4번출구,서울특별시 송파구 양재대로 지하 1127 송파구 방이동 217-2,37.508968,127.125839,12,3,서울,201804261939
신성기사식당 앞,서울특별시 마포구 독막로 223-1 50-2,37.547249,126.939293,10,3,서울,201804261939
잠실본동주민센터뒤 잠실근린공원,서울특별시 송파구 백제고분로15길 7 송파구 잠실동 230,37.505692,127.084038,15,15,서울,201804261939
삼전사거리 포스코더샵,서울특별시 송파구 백제고분로 188 잠실포스코더샵,37.504200,127.087532,10,23,서울,201804261939
잠실새내역 5번 출구 뒤,서울특별시 송파구 백제고분로 95 송파구 잠실동 19-10,37.511982,127.085052,15,20,서울,201804261939
아시아지하보도 2번 출구,서울특별시 송파구 올림픽로 74 송파구 잠실동 20,37.512169,127.078934,15,3,서울,201804261939
잠실4동 주민센터 옆,서울특별시 송파구 올림픽로35길 16 송파구 신천동 20-50,37.520077,127.112366,10,1,서울,201804261939
거여역 8번출구 뒤,서울특별시 송파구 오금로 지하 499 송파구 거여동 20-14,37.493126,127.143822,10,4,서울,201804261939
마천사거리,서울특별시 송파구 거마로 51 송파구 거여동 133-60,37.497700,127.146202,10,9,서울,201804261939
송파체육문화회관 앞,서울특별시 송파구 양산로 15 송파구 거여동 289-9,37.490688,127.143127,15,13,서울,201804261939
문화촌 공원,서울특별시 서대문구 홍제동 277-23 277-23,37.594330,126.947388,20,5,서울,201804261939
송파중학교 정문,서울특별시 송파구 동남로 203 송파구 가락동 195-1,37.495670,127.130592,10,9,서울,201804261939
잠실역 6번출구,서울특별시 송파구 석촌호수로12길 3-5 송파구 잠실동 31,37.514088,127.099030,10,13,서울,201804261939
잠실3거리(갤러리아팰리스),서울특별시 송파구 석촌호수로12길 3-17 송파구 잠실동 38,37.510509,127.093369,9,11,서울,201804261939
잠실트리지움310동 옆,서울특별시 송파구 잠실로 62 송파구 잠실동 36-1,37.508339,127.088142,15,19,서울,201804261939
문정 법조단지3,서울특별시 송파구 정의로 30 송파구 문정동 396-3,37.480843,127.118011,20,9,서울,201804261939
서강대 정문 건너편,서울특별시 마포구 서강로16길 72 84-5,37.551140,126.936989,20,8,서울,201804261939
문정 법조단지4,서울특별시 송파구 새말로 62 송파구 문정동 305-24,37.480576,127.118568,10,10,서울,201804261939
문정 법조단지5,서울특별시 송파구 새말로 62 송파구 문정동 398-5,37.481239,127.119797,15,5,서울,201804261939
문정 법조단지6,서울특별시 송파구 법원로 101 송파구 문정동 361-1,37.482090,127.119743,15,2,서울,201804261939
문정 법조단지7,서울특별시 송파구 법원로 101 문정동 346-2,37.484531,127.120163,20,11,서울,201804261939
문정 법조단지8,서울특별시 송파구 법원로 101 문정동 619,37.481537,127.122124,7,3,서울,201804261939
문정 법조단지9,서울특별시 송파구 법원로 101 문정동 619,37.479465,127.125328,10,7,서울,201804261939
문정 법조단지10,서울특별시 송파구 송파대로 지하 82 장지동 201-5,37.477509,127.126328,30,1,서울,201804261939
문정 법조단지11,서울특별시 송파구 법원로 101 문정동 627,37.478821,127.123512,15,6,서울,201804261939
방이초등학교,서울특별시 송파구 위례성대로 114 송파구 방이동 75,37.513962,127.121674,20,2,서울,201804261939
아주중학교건너편,서울특별시 송파구 도곡로 446 송파구 잠실동 128,37.505463,127.077347,10,1,서울,201804261939
서강대 남문 옆,서울특별시 마포구 백범로 35 1-30,37.549484,126.938950,15,0,서울,201804261939
문정2동 주민센터,서울특별시 송파구 중대로 16 송파구 중대로 16,37.490047,127.110748,10,8,서울,201804261939
석촌역 2번출구,서울특별시 송파구 송파동 68  석촌역 2번출구,37.505932,127.107750,10,10,서울,201804261939
오금역 3번 출구 뒤,서울특별시  송파구 가락동 10-15  오금역 3번 출구 뒤,37.501652,127.128181,10,9,서울,201804261939
문정현대아파트 교차로,서울특별시 송파구 문정동 3-2  문정현대아파트 교차로,37.491131,127.125809,8,8,서울,201804261939
