acinum,year,loc1,loc2,time02,time04,time06,time08,time10,time12,time14,time16,time18,time20,time22,22~24
210,2007,경북,경산시,1,,2,11,13,11,8,12,11,15,9,5
211,2007,경남,마산시,,2,,1,2,4,4,6,5,5,3,1
212,2007,경남,진주시,2,,1,3,11,4,14,14,7,10,8,9
213,2007,경남,창원시,3,,3,14,19,10,10,15,18,14,15,5
214,2007,경남,진해시,1,,,4,4,4,6,3,5,7,2,1
215,2007,경남,통영시,,,1,2,3,,1,2,2,5,1,1
216,2007,경남,김해시,1,,1,3,9,3,10,7,19,8,7,3
217,2007,경남,밀양시,,,,,2,1,1,4,2,5,,
218,2007,경남,거제시,1,1,,9,1,2,3,1,2,8,1,5
219,2007,경남,의령군,,,,1,2,2,2,2,4,3,,1
220,2007,경남,함안군,,,,,,3,2,3,2,,,1
221,2007,경남,창녕군,1,,,2,4,3,2,,3,2,,
222,2007,경남,양산시,1,,,2,1,4,2,2,2,1,1,
223,2007,경남,고성군,,,,,,,,1,1,,1,
224,2007,경남,사천시,,,1,,4,2,2,4,2,4,,
225,2007,경남,남해군,,,,,,1,1,,,1,,
226,2007,경남,하동군,,,,,1,2,1,,1,1,,
227,2007,경남,산청군,,,,1,,,1,2,,2,,2
228,2007,경남,함양군,,,,,1,1,1,,3,2,1,
229,2007,경남,거창군,1,,,,3,,,3,1,2,,2
230,2007,경남,합천군,,,,,,1,2,2,2,1,2,
231,2007,경남,창원시(통합),,,,,,,,,,,,
232,2007,제주,제주시,,,,7,14,12,12,16,21,10,4,5
233,2007,제주,서귀포시,,,,,1,4,4,4,4,3,2,1
234,2008,서울,종로구,2,2,1,5,5,5,3,2,6,10,5,4
235,2008,서울,중구,2,1,,3,5,5,5,3,6,5,2,2
236,2008,서울,용산구,,,1,3,4,5,3,3,3,6,3,3
237,2008,서울,성동구,4,2,7,10,22,12,13,17,14,13,9,8
238,2008,서울,동대문구,7,3,6,13,28,12,21,16,38,23,12,14
239,2008,서울,성북구,3,2,4,8,11,7,11,13,13,15,6,9
240,2008,서울,도봉구,4,,6,7,15,12,8,13,18,17,16,7
241,2008,서울,은평구,5,1,6,13,20,6,24,13,29,20,18,17
242,2008,서울,서대문구,,4,,4,6,1,5,3,6,6,7,3
243,2008,서울,마포구,7,4,4,11,21,8,14,20,23,16,14,12
244,2008,서울,강서구,3,7,7,17,23,25,19,15,32,39,34,14
245,2008,서울,구로구,7,3,7,8,27,10,10,15,18,15,14,9
246,2008,서울,영등포구,7,6,12,19,28,26,9,21,25,38,22,9
247,2008,서울,동작구,2,1,4,2,6,5,8,8,6,5,7,5
248,2008,서울,관악구,4,2,3,5,16,12,11,8,20,9,11,7
249,2008,서울,강남구,2,,4,8,15,6,11,16,13,17,5,6
250,2008,서울,강동구,8,3,10,21,27,19,20,25,26,33,28,22
251,2008,서울,송파구,13,5,11,26,39,23,28,31,34,25,22,14
252,2008,서울,서초구,1,2,3,5,8,6,4,11,10,7,9,8
253,2008,서울,양천구,4,5,11,21,25,14,15,21,22,29,22,9
254,2008,서울,중랑구,9,2,11,15,29,22,15,17,24,22,26,13
255,2008,서울,노원구,6,3,6,25,21,8,13,20,26,31,10,11
256,2008,서울,광진구,1,1,2,17,24,15,19,30,22,25,28,16
257,2008,서울,강북구,1,1,2,11,14,4,9,9,20,13,8,4
258,2008,서울,금천구,3,2,3,9,12,5,8,7,6,12,3,2
259,2008,부산,중구,1,,,,1,3,1,1,2,2,,1
260,2008,부산,서구,,,4,,2,,1,,,,2,1
261,2008,부산,동구,1,,1,2,1,1,1,2,2,,2,
262,2008,부산,영도구,,,,1,1,,2,4,1,3,1,
263,2008,부산,진구,1,2,3,4,7,6,2,10,3,7,3,5
264,2008,부산,동래구,,,,4,10,6,2,8,10,8,4,4
265,2008,부산,남구,,,,1,7,2,1,5,4,5,4,2
266,2008,부산,북구,1,,2,1,3,3,,1,5,2,2,1
267,2008,부산,해운대구,1,,1,2,6,7,5,3,11,9,1,5
268,2008,부산,사하구,,,1,6,1,3,1,2,8,9,2,1
269,2008,부산,금정구,,,1,5,4,5,4,6,6,5,1,4
270,2008,부산,강서구,,,,3,5,1,3,7,3,4,,
271,2008,부산,연제구,,,1,3,8,4,1,10,4,10,3,2
272,2008,부산,수영구,,,,3,4,3,5,3,8,6,7,3
273,2008,부산,사상구,2,,1,5,10,11,3,3,7,11,5,1
274,2008,부산,기장군,,,1,,1,,2,2,2,1,,1
275,2008,대구,중구,,,3,4,12,9,6,13,17,14,10,7
276,2008,대구,동구,3,,5,13,21,22,18,19,21,17,13,7
277,2008,대구,서구,1,2,3,13,26,9,10,12,21,18,9,7
278,2008,대구,남구,2,1,2,8,13,2,7,3,7,9,12,8
279,2008,대구,북구,6,1,6,28,29,20,40,34,41,46,30,9
280,2008,대구,수성구,2,2,1,20,26,24,16,23,38,27,21,12
281,2008,대구,달서구,5,1,5,15,31,18,22,32,45,38,26,16
282,2008,대구,달성군,,,,4,5,2,6,2,3,5,3,2
283,2008,인천,중구,,,2,2,3,3,1,5,6,4,2,
284,2008,인천,동구,1,,,2,2,1,,1,4,2,,
285,2008,인천,남구,3,1,3,8,12,4,10,10,14,6,6,6
286,2008,인천,부평구,4,2,11,16,22,16,18,12,24,31,18,15
287,2008,인천,남동구,1,1,6,18,12,10,8,24,22,14,9,9
288,2008,인천,서구,,1,,14,6,5,4,3,8,7,8,4
289,2008,인천,연수구,1,,1,7,12,6,5,4,2,9,3,1
290,2008,인천,계양구,,,5,6,11,2,8,19,22,10,6,5
291,2008,인천,강화군,,,,,,1,2,3,1,2,,
292,2008,인천,옹진군,,,,1,,1,1,,,,,1
293,2008,광주,동구,,,3,3,8,2,6,6,4,7,5,
294,2008,광주,서구,,2,2,10,11,6,9,10,13,10,7,6
